Time,No. Steps,Total Reward,Episode Length
0.02493453025817871,535,1282.6000000000004,172
0.028924942016601562,7052,1282.6000000000004,172
0.032914161682128906,15659,1509.100000000008,598
0.03390908241271973,29653,4239.0000000000255,2005
0.04188680648803711,38731,1686.8000000000093,661
0.03789830207824707,45696,1282.6000000000004,172
0.046877145767211914,54602,1652.8000000000093,664
0.0498654842376709,63240,1467.800000000008,588
0.04444003105163574,70852,1686.7000000000025,294
0.02892303466796875,77625,987.2999999999997,136
0.039891719818115234,91814,4894.499999999996,2005
0.022936105728149414,99209,1658.8000000000015,239
0.01994800567626953,106658,1653.9000000000015,235
0.031914472579956055,114076,1653.9000000000015,233
0.046875,123160,1567.000000000009,652
0.028926849365234375,130527,1659.9000000000015,232
0.030442476272583008,137949,1656.9000000000015,231
0.03231334686279297,145389,1652.9000000000015,231
0.04039931297302246,152942,1652.9000000000015,231
0.030356645584106445,161802,1504.700000000008,594
0.040358781814575195,171015,1567.3000000000093,660
0.032380104064941406,185068,5367.499999999979,2005
0.028307676315307617,193964,1658.9000000000087,634
0.030318021774291992,208280,1392.0000000000337,2005
0.030304908752441406,215771,1653.9000000000015,233
0.04031801223754883,223313,1652.9000000000015,231
0.04043889045715332,230836,1652.9000000000015,231
0.020136594772338867,238294,1652.9000000000015,231
0.020139455795288086,245785,1653.9000000000015,233
0.03249859809875488,253216,1652.9000000000015,231
0.040434837341308594,260733,1656.9000000000015,231
0.03861284255981445,268253,1654.9000000000015,232
0.03222846984863281,275839,1654.9000000000015,232
0.06060290336608887,283320,1652.9000000000015,231
0.020282745361328125,290472,575.4999999999995,126
0.04040217399597168,298004,1652.9000000000015,231
0.03225588798522949,305498,1656.9000000000015,231
0.05107474327087402,313019,1655.4000000000015,231
0.04855966567993164,320423,1655.4000000000015,231
0.03223538398742676,327923,1663.4000000000015,231
0.04037737846374512,335382,1655.4000000000015,231
0.04234957695007324,342807,1655.4000000000015,231
0.04056048393249512,355036,2033.4000000000246,1506
0.02826857566833496,362542,1833.2000000000016,242
0.042511701583862305,370111,1842.1000000000017,246
0.03889656066894531,379073,2041.8000000000097,687
0.04335308074951172,387702,1928.200000000009,642
0.03583168983459473,396571,2015.3000000000093,664
0.035902976989746094,403113,1848.2000000000016,245
0.04089069366455078,411430,1941.700000000009,642
0.040338993072509766,419655,2005.3000000000093,660
0.03091883659362793,426928,1643.2000000000016,241
0.024938344955444336,434794,2173.000000000004,377
0.020165681838989258,442328,2169.6000000000026,299
Time,No. Steps,Total Reward,Episode Length
0.018950462341308594,0,2879.300000000014,918
0.0249326229095459,0,266.09999999999826,422
0.012132406234741211,0,544.4999999999998,83
0.018111705780029297,0,483.2999999999976,562
0.021940946578979492,0,1259.9,170
0.01495981216430664,0,525.4999999999998,80
0.020058870315551758,0,525.4999999999998,80
0.021941184997558594,0,525.4999999999998,80
0.01416158676147461,0,525.4999999999998,80
0.010034322738647461,0,525.4999999999998,80
0.00806117057800293,0,525.4999999999998,80
0.02011394500732422,0,525.4999999999998,80
0.020151376724243164,0,525.4999999999998,80
0.017290592193603516,0,525.4999999999998,80
0.01508188247680664,0,525.4999999999998,80
0.01804351806640625,0,525.4999999999998,80
0.016086816787719727,0,525.4999999999998,80
0.014960289001464844,0,525.4999999999998,80
0.014960289001464844,0,525.4999999999998,80
