Time,No. Steps,Total Reward,Episode Length
0.06283211708068848,1168,-127.45000000000066,400
0.05186343193054199,7155,140.85000000000005,27
0.04886913299560547,13144,145.35000000000002,27
0.05285811424255371,20625,303.15000000000276,445
0.0468754768371582,26927,145.85000000000005,27
0.05485105514526367,34757,182.70000000000277,434
0.04276704788208008,42592,197.70000000000255,420
0.03291058540344238,48829,195.55000000000007,40
0.05684924125671387,56841,226.40000000000276,428
0.03191494941711426,62987,148.55000000000004,28
0.057843685150146484,69145,145.35000000000002,27
0.029079675674438477,75338,145.35000000000002,27
0.06482577323913574,83141,185.20000000000277,434
0.06083369255065918,89087,140.35000000000002,27
0.05585312843322754,95013,153.5500000000001,30
0.05186104774475098,101009,140.35000000000002,27
0.04487943649291992,106833,148.00000000000006,29
0.0468754768371582,112475,152.50000000000009,30
0.032910823822021484,118625,157.85000000000008,31
0.03889584541320801,124791,145.35000000000002,27
0.04886937141418457,132837,300.9000000000026,445
0.06183314323425293,138673,142.9000000000001,32
0.04886984825134277,144559,143.90000000000003,27
