Time,No. Steps,Total Reward,Episode Length
0.020232200622558594,450,-7.999999999999988,400
Time,No. Steps,Total Reward,Episode Length
0.04063153266906738,878,197.2000000000001,40
0.033596038818359375,20125,140.35000000000002,27
0.02587294578552246,41040,140.35000000000002,27
0.03181576728820801,61345,140.35000000000002,27
0.04795670509338379,81246,151.85000000000002,30
0.044226646423339844,101259,151.85000000000002,30
0.047124624252319336,120527,151.85000000000002,30
0.03048229217529297,140146,140.35000000000002,27
0.04095602035522461,160053,197.2000000000001,40
0.04014086723327637,179814,197.2000000000001,40
0.02506709098815918,199266,140.35000000000002,27
0.028270959854125977,218755,140.35000000000002,27
0.05335521697998047,238286,153.65,30
0.028096437454223633,262628,382.2500000000024,409
0.04133319854736328,282431,153.65,30
0.04044747352600098,302183,153.65,30
0.041704416275024414,321577,146.10000000000008,31
0.033194541931152344,341202,140.35000000000002,27
0.028074264526367188,360783,148.10000000000005,29
0.044754981994628906,386924,394.2500000000029,489
0.02558112144470215,406339,140.35000000000002,27
0.026189565658569336,425683,140.35000000000002,27
0.030274152755737305,445084,140.35000000000002,27
0.043718814849853516,470322,288.30000000000274,448
0.043175458908081055,495260,394.5000000000026,449
0.025809049606323242,515169,387.95000000000005,63
0.05208873748779297,544103,371.8500000000045,709
0.025989294052124023,563960,379.74999999999994,57
0.025686025619506836,584073,402.15,61
0.027774333953857422,603279,140.35000000000002,27
0.026243925094604492,624380,443.3000000000005,133
0.0292508602142334,644433,402.05000000000007,66
0.04465126991271973,670445,420.300000000003,493
0.02595663070678711,690439,379.74999999999994,57
0.04404306411743164,712887,359.5000000000013,245
0.03466010093688965,738369,324.10000000000264,444
0.02599310874938965,758591,404.65,61
0.041140079498291016,779713,984.2499999999991,139
0.03136396408081055,799119,140.35000000000002,27
0.026668071746826172,820169,385.55000000000075,154
0.04204988479614258,845602,295.9000000000027,448
0.029074668884277344,867253,568.7499999999989,171
0.0416409969329834,888979,389.4500000000009,186
0.04400181770324707,914574,388.5500000000026,463
0.042558908462524414,940292,298.75000000000273,448
0.028824567794799805,965002,340.2000000000022,379
0.027601003646850586,986203,620.4999999999985,139
0.04345250129699707,1013646,407.55000000000365,581
0.04391360282897949,1039087,298.75000000000273,448
0.04409503936767578,1064652,376.70000000000266,458
0.04788661003112793,1090286,376.70000000000266,458
0.048265695571899414,1116043,376.70000000000266,458
0.04269838333129883,1141839,376.70000000000266,458
0.042816162109375,1163008,504.70000000000033,140
0.020319223403930664,1185519,878.1000000000003,237
0.02303028106689453,1207756,882.0500000000002,228
0.03375816345214844,1229016,902.0499999999995,135
0.01840662956237793,1250245,897.2499999999997,136
0.01809406280517578,1271418,906.1499999999997,131
0.0435791015625,1293136,1241.6999999999987,179
0.03315019607543945,1314354,969.9499999999996,138
0.050002098083496094,1335863,1156.25,160
0.0270383358001709,1357359,1019.3999999999992,148
0.04544186592102051,1379045,965.0999999999996,136
0.05399775505065918,1400995,1115.999999999999,158
0.04233956336975098,1422340,903.2999999999995,129
0.02647709846496582,1444924,1311.799999999999,187
0.02299666404724121,1466413,903.2499999999995,130
0.04225778579711914,1488633,1313.2499999999993,186
0.04012036323547363,1509902,903.2999999999995,129
0.044249534606933594,1541656,1899.1999999999853,849
0.04212689399719238,1563962,1336.6,188
0.029621601104736328,1586238,1248.9000000000005,171
0.027131080627441406,1608128,1157.3999999999999,162
0.051107168197631836,1636815,1444.099999999989,599
0.04339122772216797,1664878,1438.1999999999896,591
0.04291892051696777,1693514,1461.5999999999885,606
0.0423431396484375,1721865,1458.399999999989,603
0.042322635650634766,1750591,1460.1499999999887,608
0.031546592712402344,1773196,1292.1999999999996,180
0.04163789749145508,1796608,1706.1499999999983,259
0.04372763633728027,1825800,1594.6999999999878,654
0.04304003715515137,1848167,1287.85,178
0.028037309646606445,1870675,1329.5000000000005,180
0.04358506202697754,1899334,1529.4499999999896,623
0.04374861717224121,1927984,1442.2499999999895,600
0.04262709617614746,1956556,1419.7499999999898,593
0.04290771484375,1985056,1419.7499999999898,593
0.0336146354675293,2007518,1284.55,176
0.03453707695007324,2032065,2686.8500000000013,320
0.04288125038146973,2060575,1429.4999999999898,593
0.03450179100036621,2083809,1614.4500000000007,222
0.04034781455993652,2107065,1635.3500000000004,237
0.026367902755737305,2130369,1626.3500000000006,233
0.04045295715332031,2153663,1620.1500000000005,222
0.03477811813354492,2176928,1619.0500000000009,221
0.04438066482543945,2199657,1624.5000000000005,222
0.04280233383178711,2222505,1617.1500000000008,221
0.04254651069641113,2245624,1610.200000000001,220
0.018570423126220703,2268871,1620.950000000001,222
0.019841909408569336,2292256,1625.950000000001,222
0.052869558334350586,2322114,1954.1999999999905,659
0.04279446601867676,2346687,2688.200000000003,310
0.03592419624328613,2372677,2652.4500000000003,400
0.0285494327545166,2394258,778.8499999999998,112
0.02838730812072754,2416282,1218.6,168
0.04341888427734375,2445878,2099.1500000000465,698
0.043215274810791016,2475375,1932.1999999999905,662
0.026799678802490234,2498739,1813.4000000000017,239
0.04269886016845703,2528493,1977.6000000000013,674
0.03430747985839844,2552187,1871.6500000000012,270
0.04589509963989258,2581494,1839.0499999999909,642
0.04291033744812012,2610448,1933.7499999999907,658
0.0417020320892334,2634841,2656.3000000000043,314
0.027058124542236328,2659388,2665.800000000002,294
0.04893970489501953,2689724,2067.200000000043,671
0.044153690338134766,2713987,2660.2000000000016,284
0.0436093807220459,2743966,1909.099999999991,643
0.055768728256225586,2773888,1905.099999999991,644
0.04324197769165039,2803727,1966.599999999994,654
0.05442070960998535,2833982,2113.6000000000477,687
0.035919189453125,2860140,2678.050000000001,417
0.04336237907409668,2892631,2056.550000000041,804
0.04305410385131836,2927556,2023.4500000000216,980
0.042555809020996094,2951779,2702.150000000004,290
0.044480323791503906,2981716,1959.7999999999906,659
0.03454279899597168,3006706,2657.0,323
0.04270434379577637,3037520,2113.6000000000477,687
0.04378557205200195,3068286,2081.2500000000455,683
0.05473661422729492,3098877,2095.4500000000453,696
0.056551218032836914,3128628,1913.499999999991,651
0.027501344680786133,3153024,2674.6000000000017,282
0.05026721954345703,3177189,2641.650000000002,271
0.021767377853393555,3201600,2652.800000000003,282
0.0423121452331543,3231650,2062.5000000000455,669
0.04868721961975098,3256163,2641.650000000002,271
0.04366755485534668,3285936,1917.2999999999909,651
0.04206728935241699,3316282,1917.2999999999909,651
0.05019545555114746,3340446,2641.650000000002,271
0.045812368392944336,3365075,2651.9500000000035,285
0.044496774673461914,3395065,2088.650000000047,675
0.01945209503173828,3419369,2653.9500000000025,275
0.0418391227722168,3443480,2651.650000000002,271
0.04567265510559082,3468389,2654.9500000000066,317
0.04435849189758301,3498698,2083.200000000046,672
0.05118727684020996,3522704,2673.6000000000026,275
0.019434690475463867,3547074,2651.9500000000035,284
0.019324302673339844,3571203,2653.9500000000025,275
